age,dob,gender,version,counter,block,trial,rule,target,Right,Left,rt,right answer,hit,no hits
adult,27/09/1991,f,1,1,1,1,car.jpg,1,car05.jpg,boat03.jpg,1.0957,1,1,1
adult,27/09/1991,f,1,2,1,2,car.jpg,1,car06.jpg,cat06.jpg,1.1989,1,1,1
adult,27/09/1991,f,1,3,1,3,car.jpg,1,boat05.jpg,car08.jpg,0.96686,1,1,1
adult,27/09/1991,f,1,4,1,4,car.jpg,1,car03.jpg,cat03.jpg,0.59998,1,1,1
adult,27/09/1991,f,1,5,1,1,car.jpg,0,boat03.jpg,boat01.jpg,0,1,0,0
adult,27/09/1991,f,1,6,1,2,car.jpg,1,cat08.jpg,car10.jpg,0.65025,1,1,1
adult,27/09/1991,f,1,7,1,3,car.jpg,0,cat07.jpg,cat05.jpg,0,1,0,0
adult,27/09/1991,f,1,8,1,4,car.jpg,1,cat01.jpg,car06.jpg,0.72626,1,1,1
adult,27/09/1991,f,1,9,1,1,car.jpg,1,cat10.jpg,car08.jpg,0.52932,1,1,1
adult,27/09/1991,f,1,10,1,2,car.jpg,1,boat03.jpg,car07.jpg,0.97005,1,1,1
adult,27/09/1991,f,1,11,1,3,car.jpg,1,cat06.jpg,car06.jpg,0.5046,1,1,1
adult,27/09/1991,f,1,12,1,4,car.jpg,0,boat05.jpg,boat07.jpg,0,1,0,0
adult,27/09/1991,f,1,13,1,1,car.jpg,0,boat07.jpg,boat06.jpg,0,1,0,0
adult,27/09/1991,f,1,14,1,2,car.jpg,1,car07.jpg,boat04.jpg,0.54328,1,1,1
adult,27/09/1991,f,1,15,1,3,car.jpg,1,car06.jpg,cat03.jpg,0.57873,1,1,1
adult,27/09/1991,f,1,16,1,4,car.jpg,0,boat07.jpg,cat08.jpg,0,1,0,0
adult,27/09/1991,f,1,17,1,1,car.jpg,1,car02.jpg,boat06.jpg,0.57835,1,1,1
adult,27/09/1991,f,1,18,1,2,car.jpg,0,cat10.jpg,boat01.jpg,0,1,0,0
adult,27/09/1991,f,1,19,1,3,car.jpg,1,cat10.jpg,car08.jpg,0.50433,1,1,1
adult,27/09/1991,f,1,20,1,4,car.jpg,0,boat08.jpg,boat10.jpg,0,1,0,0
adult,27/09/1991,f,1,21,1,1,car.jpg,1,boat09.jpg,car04.jpg,0.54133,1,1,1
adult,27/09/1991,f,1,22,1,2,car.jpg,1,car04.jpg,cat02.jpg,0.72465,1,1,1
adult,27/09/1991,f,1,23,1,3,car.jpg,1,boat03.jpg,car03.jpg,0.87323,1,1,1
adult,27/09/1991,f,1,24,1,4,car.jpg,1,car09.jpg,cat02.jpg,0.55246,1,1,1
adult,27/09/1991,f,1,25,1,1,car.jpg,1,cat07.jpg,car08.jpg,0.55301,1,1,1
adult,27/09/1991,f,1,26,1,2,car.jpg,1,car10.jpg,cat04.jpg,0.68768,1,1,1
adult,27/09/1991,f,1,27,1,3,car.jpg,0,boat07.jpg,boat05.jpg,0,1,0,0
adult,27/09/1991,f,1,28,1,4,car.jpg,0,cat10.jpg,cat04.jpg,0,1,0,0
adult,27/09/1991,f,1,29,1,1,car.jpg,1,car05.jpg,cat08.jpg,0.54079,1,1,1
adult,27/09/1991,f,1,30,1,2,car.jpg,0,boat08.jpg,cat10.jpg,0,1,0,0
adult,27/09/1991,f,1,31,1,3,car.jpg,1,car06.jpg,cat02.jpg,0.49284,1,1,1
adult,27/09/1991,f,1,32,1,4,car.jpg,1,car08.jpg,cat09.jpg,0.52962,1,1,1
adult,27/09/1991,f,1,33,1,1,car.jpg,0,boat01.jpg,boat08.jpg,0,1,0,0
adult,27/09/1991,f,1,34,1,2,car.jpg,1,boat06.jpg,car05.jpg,0.59082,1,1,1
adult,27/09/1991,f,1,35,1,3,car.jpg,0,boat09.jpg,boat04.jpg,0,1,0,0
adult,27/09/1991,f,1,36,1,4,car.jpg,0,cat10.jpg,cat06.jpg,0,1,0,0
adult,27/09/1991,f,1,37,1,1,car.jpg,0,boat06.jpg,cat08.jpg,0,1,0,0
adult,27/09/1991,f,1,38,1,2,car.jpg,0,cat09.jpg,cat10.jpg,0,1,0,0
adult,27/09/1991,f,1,39,1,3,car.jpg,1,car07.jpg,boat08.jpg,0.69085,1,1,1
adult,27/09/1991,f,1,40,1,4,car.jpg,0,boat07.jpg,boat03.jpg,0,1,0,0
adult,27/09/1991,f,1,41,2,1,dog.jpg,0,cat04.jpg,boat09.jpg,0,1,0,0
adult,27/09/1991,f,1,42,2,2,dog.jpg,0,cat05.jpg,boat08.jpg,0.62865,0,1,2
adult,27/09/1991,f,1,43,2,3,dog.jpg,1,boat08.jpg,dog10.jpg,0.68804,1,1,1
adult,27/09/1991,f,1,44,2,4,dog.jpg,1,dog07.jpg,cat07.jpg,0.87186,1,1,1
adult,27/09/1991,f,1,45,2,1,dog.jpg,1,boat04.jpg,dog06.jpg,0.76152,1,1,1
adult,27/09/1991,f,1,46,2,2,dog.jpg,1,dog10.jpg,cat01.jpg,0.68815,1,1,1
adult,27/09/1991,f,1,47,2,3,dog.jpg,0,cat09.jpg,cat07.jpg,0,1,0,0
adult,27/09/1991,f,1,48,2,4,dog.jpg,1,boat05.jpg,dog01.jpg,0.61511,1,1,1
adult,27/09/1991,f,1,49,2,1,dog.jpg,1,cat04.jpg,dog02.jpg,0.65189,1,1,1
adult,27/09/1991,f,1,50,2,2,dog.jpg,1,dog06.jpg,cat07.jpg,0.93285,1,1,1
adult,27/09/1991,f,1,51,2,3,dog.jpg,1,dog06.jpg,boat03.jpg,0.71203,1,1,1
adult,27/09/1991,f,1,52,2,4,dog.jpg,0,cat04.jpg,boat09.jpg,0,1,0,0
adult,27/09/1991,f,1,53,2,1,dog.jpg,1,dog09.jpg,cat05.jpg,1.3372,1,1,1
adult,27/09/1991,f,1,54,2,2,dog.jpg,0,boat03.jpg,cat06.jpg,0,1,0,0
adult,27/09/1991,f,1,55,2,3,dog.jpg,0,boat07.jpg,boat03.jpg,0,1,0,0
adult,27/09/1991,f,1,56,2,4,dog.jpg,1,boat01.jpg,dog03.jpg,0.72533,1,1,1
adult,27/09/1991,f,1,57,2,1,dog.jpg,1,dog07.jpg,boat08.jpg,0.51497,1,1,1
