ID, Age,DOB,Gender,Date,TrialIndex,Cue,Modality,Trial,TargetExist,TargetName,TaskSwitch,ModalitySwitch,Correct,RT,noHits
OP02                                                           ,6,30-JAN-2010,F,06-Jul-2016,1,tree,0,0,0,music02.wav,0,0,1,0,0
OP02                                                           ,6,30-JAN-2010,F,06-Jul-2016,2,tree,0,7,1,tree07.wav,0,0,1,1.4737,1
OP02                                                           ,6,30-JAN-2010,F,06-Jul-2016,3,tree,1,7,1,tree07.png,0,1,1,1.6122,1
OP02                                                           ,6,30-JAN-2010,F,06-Jul-2016,4,music,0,0,0,tree08.wav,1,1,1,0,0
OP02                                                           ,6,30-JAN-2010,F,06-Jul-2016,5,tree,1,6,1,tree06.png,1,1,1,1.2206,1
OP02                                                           ,6,30-JAN-2010,F,06-Jul-2016,6,music,1,0,0,tree09.png,1,0,0,1.3934,1
OP02                                                           ,6,30-JAN-2010,F,06-Jul-2016,7,music,1,0,0,tree04.png,0,0,1,0,0
OP02                                                           ,6,30-JAN-2010,F,06-Jul-2016,8,music,0,7,1,music07.wav,0,1,1,2.0368,0
OP02                                                           ,6,30-JAN-2010,F,06-Jul-2016,9,tree,0,6,1,tree06.wav,1,0,1,2.3575,1
OP02                                                           ,6,30-JAN-2010,F,06-Jul-2016,10,music,0,9,1,music09.wav,1,0,1,2.3582,0
OP02                                                           ,6,30-JAN-2010,F,06-Jul-2016,11,music,1,1,1,music01.png,0,1,1,1.4389,1
OP02                                                           ,6,30-JAN-2010,F,06-Jul-2016,12,tree,0,0,0,music07.wav,1,1,1,0,0
OP02                                                           ,6,30-JAN-2010,F,06-Jul-2016,13,music,1,0,0,tree03.png,1,1,1,0,0
OP02                                                           ,6,30-JAN-2010,F,06-Jul-2016,14,tree,1,7,1,tree07.png,1,0,1,1.7371,1
OP02                                                           ,6,30-JAN-2010,F,06-Jul-2016,15,tree,0,2,1,tree02.wav,0,1,1,1.8293,0
OP02                                                           ,6,30-JAN-2010,F,06-Jul-2016,16,tree,0,0,0,music06.wav,0,0,1,0,0
OP02                                                           ,6,30-JAN-2010,F,06-Jul-2016,17,tree,1,6,1,tree06.png,0,1,1,1.8519,1
OP02                                                           ,6,30-JAN-2010,F,06-Jul-2016,18,tree,1,10,1,tree10.png,0,0,1,1.2426,1
OP02                                                           ,6,30-JAN-2010,F,06-Jul-2016,19,music,0,2,1,music02.wav,1,1,1,1.3691,0
OP02                                                           ,6,30-JAN-2010,F,06-Jul-2016,20,tree,1,6,1,tree06.png,1,1,1,3.1487,1
OP02                                                           ,6,30-JAN-2010,F,06-Jul-2016,21,tree,0,0,0,music09.wav,0,1,1,0,0
OP02                                                           ,6,30-JAN-2010,F,06-Jul-2016,22,music,1,0,0,tree06.png,1,1,1,0,0
OP02                                                           ,6,30-JAN-2010,F,06-Jul-2016,23,tree,0,0,0,music04.wav,1,1,1,0,0
OP02                                                           ,6,30-JAN-2010,F,06-Jul-2016,24,music,0,9,1,music09.wav,1,0,1,1.8873,1
OP02                                                           ,6,30-JAN-2010,F,06-Jul-2016,25,music,1,0,0,tree03.png,0,1,1,0,0
OP02                                                           ,6,30-JAN-2010,F,06-Jul-2016,26,tree,0,0,0,music05.wav,1,1,1,0,0
OP02                                                           ,6,30-JAN-2010,F,06-Jul-2016,27,music,1,3,1,music03.png,1,1,1,1.6345,1
OP02                                                           ,6,30-JAN-2010,F,06-Jul-2016,28,tree,1,0,0,music05.png,1,0,1,0,0
OP02                                                           ,6,30-JAN-2010,F,06-Jul-2016,29,music,1,0,0,tree04.png,1,0,1,0,0
OP02                                                           ,6,30-JAN-2010,F,06-Jul-2016,30,tree,0,0,0,music06.wav,1,1,1,0,0
OP02                                                           ,6,30-JAN-2010,F,06-Jul-2016,31,music,1,0,0,tree08.png,1,1,1,0,0
OP02                                                           ,6,30-JAN-2010,F,06-Jul-2016,32,tree,0,0,0,music05.wav,1,1,1,0,0
OP02                                                           ,6,30-JAN-2010,F,06-Jul-2016,33,tree,1,2,1,tree02.png,0,1,1,1.519,1
OP02                                                           ,6,30-JAN-2010,F,06-Jul-2016,34,tree,1,0,0,music05.png,0,0,1,0,0
OP02                                                           ,6,30-JAN-2010,F,06-Jul-2016,35,tree,0,6,1,tree06.wav,0,1,1,1.5532,1
OP02                                                           ,6,30-JAN-2010,F,06-Jul-2016,36,music,0,8,1,music08.wav,1,0,1,2.4722,1
OP02                                                           ,6,30-JAN-2010,F,06-Jul-2016,37,tree,0,0,0,music02.wav,1,0,1,0,0
OP02                                                           ,6,30-JAN-2010,F,06-Jul-2016,38,music,0,0,0,tree01.wav,1,0,1,0,0
OP02                                                           ,6,30-JAN-2010,F,06-Jul-2016,39,tree,1,9,1,tree09.png,1,1,1,3.2775,1
OP02                                                           ,6,30-JAN-2010,F,06-Jul-2016,40,tree,0,9,1,tree09.wav,0,1,1,2.7252,1
OP02                                                           ,6,30-JAN-2010,F,06-Jul-2016,41,music,0,7,1,music07.wav,1,0,1,1.9103,1
OP02                                                           ,6,30-JAN-2010,F,06-Jul-2016,42,tree,1,0,0,music03.png,1,1,0,3.369,1
OP02                                                           ,6,30-JAN-2010,F,06-Jul-2016,43,tree,0,0,0,music04.wav,0,1,1,0,0
OP02                                                           ,6,30-JAN-2010,F,06-Jul-2016,44,music,1,5,1,music05.png,1,1,1,1.263,1
OP02                                                           ,6,30-JAN-2010,F,06-Jul-2016,45,tree,0,6,1,tree06.wav,1,1,1,1.3356,1
